                  X               Y    Z
      -2.8345461853   34.1181064123  0.0
      -2.7489237053   34.7774312233  0.0
      -2.6579465285   35.4374419101  0.0
      -2.5615933721   36.0980969063  0.0
      -2.4598431744   36.7593543413  0.0
       -2.352675098   37.4211720395  0.0
      -2.2400685324   38.0835075211  0.0
      -2.1220030977   38.7463180012  0.0
      -1.9984586474   39.4095603901  0.0
      -1.8694152716   40.0731912931  0.0
      -1.7348533003   40.7371670106  0.0
      -1.5947533064   41.4014435378  0.0
      -1.4490961093   42.0659765649  0.0
      -1.2978627779   42.7307214767  0.0
      -1.1410346338   43.3956333533  0.0
      -0.9785932552   44.0606669696  0.0
      -0.8105204795   44.7257767954  0.0
      -0.6367984072   45.3909169957  0.0
      -0.4574094055   46.0560414306  0.0
      -0.2723361109   46.7211036557  0.0
  -8.1561433668E-02   47.3860569218  0.0
       0.1149314393   48.0508541754  0.0
       0.3171590405    48.715448059  0.0
       0.5251376189   49.3797909108  0.0
       0.7388831354   50.0438347657  0.0
       0.9584112602   50.7075313547  0.0
       1.1837373682   51.3708321061  0.0
        1.414876536   52.0336881449  0.0
       1.6518435379   52.6960502941  0.0
       1.8946528422   53.3578690742  0.0
       2.1433186073   54.0190947042  0.0
        2.397854678   54.6796771019  0.0
       2.6582745816   55.3395658842  0.0
        2.924591524   55.9987103678  0.0
       3.1968183858   56.6570595695  0.0
       3.4749677185   57.3145622072  0.0
       3.7590517401   57.9711666998  0.0
       4.0490823315   58.6268211686  0.0
       4.3450710325   59.2814734375  0.0
       4.6470290371   59.9350710336  0.0
       4.9549671902   60.5875611884  0.0
       5.2688959829   61.2388908382  0.0
       5.5888255485    61.889006625  0.0
       5.9147656582   62.5378548973  0.0
        6.246725717   63.1853817112  0.0
       6.5847147595   63.8315328311  0.0
        6.928741445   64.4762537307  0.0
       7.2788140539   65.1194895941  0.0
       7.6349404829   65.7611853168  0.0
       7.9971282408   66.4012855069  0.0
       8.3653844437   67.0397344859  0.0
       8.7397158108   67.6764762904  0.0
       9.1201286598   68.3114546728  0.0
       9.5066289026    68.944613103  0.0
         9.89922204   69.5758947695  0.0
      10.2979131581   70.2052425807  0.0
      10.7027069226   70.8325991668  0.0
      11.1136075748   71.4579068806  0.0
      11.5306189268   72.0811077995  0.0
      11.9537443565   72.7021437268  0.0
      12.3829868027   73.3209561936  0.0
      12.8183487609   73.9374864605  0.0
      13.2598322778   74.5516755188  0.0
      13.7074389466   75.1634640931  0.0
      14.1611699022   75.7727926424  0.0
      14.6210258161   76.3796013628  0.0
      15.0870068915   76.9838301887  0.0
      15.5591128583   77.5854187954  0.0
      16.0373429676    78.184306601  0.0
      16.5216959874   78.7804327684  0.0
      17.0121701968    79.373736208  0.0
      17.5087633812   79.9641555795  0.0
      18.0114728267   80.5516292945  0.0
      18.5202953156    81.136095519  0.0
      19.0352271203   81.7174921759  0.0
      19.5562639987   82.2957569472  0.0
      20.0834011884   82.8708272772  0.0
      20.6166334018    83.442640375  0.0
      21.1559548201   84.0111332171  0.0
      21.7013590887   84.5762425506  0.0
       22.252839311   85.1379048959  0.0
      22.8103880434     85.69605655  0.0
      23.3739972896   86.2506335894  0.0
      23.9436584952   86.8015718732  0.0
      24.5193625421   87.3488070467  0.0
      25.1010997428   87.8922745446  0.0
      25.6888598352   88.4319095944  0.0
      26.2826319763     88.96764722  0.0
      26.8824047371   89.4994222453  0.0
      27.4881660969    90.027169298  0.0
      28.0999034372   90.5508228134  0.0
      28.7176035364   91.0703170381  0.0
      29.3412525637   91.5855860343  0.0
      29.9708360736   92.0965636837  0.0
      30.6063390001   92.6031836916  0.0
      31.2477456506   93.1053795918  0.0
      31.8950397005     93.60308475  0.0
